SalesOrderNumber,SalesOrderLineNumber,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,PromotionKey,CurrencyKey,SalesTerritoryKey,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmount,FreightAmount,CarrierTrackingNumber,CustomerPONumber,RevisionNumber
SO47618,1,21947,379,20200824,20200903,20200831,1,6,9,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO47898,1,19276,323,20200922,20201002,20200929,1,100,7,1,782.9900,782.9900,0.0000,0,486.7066,486.7066,782.9900,62.6392,19.5748,,,1
SO48238,1,16831,368,20201025,20201104,20201101,1,98,10,1,2443.3500,2443.3500,0.0000,0,1518.7864,1518.7864,2443.3500,195.4680,61.0838,,,1
SO48559,1,13122,354,20201113,20201123,20201120,1,6,9,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO48831,1,20886,327,20201205,20201215,20201212,1,98,10,1,782.9900,782.9900,0.0000,0,486.7066,486.7066,782.9900,62.6392,19.5748,,,1
SO49038,1,21138,360,20201231,20210110,20210107,1,19,6,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO49377,1,23435,371,20210121,20210131,20210128,1,6,9,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO49690,1,24008,375,20210213,20210223,20210220,1,6,9,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO49971,1,15208,358,20210308,20210318,20210315,1,6,9,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO50178,1,27257,354,20210330,20210409,20210406,1,100,4,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO50519,1,17934,371,20210419,20210429,20210426,1,100,8,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO50551,1,18168,373,20210422,20210502,20210429,1,98,10,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO50860,1,27504,352,20210510,20210520,20210517,1,100,1,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO51067,1,15992,339,20210529,20210608,20210605,1,100,4,1,782.9900,782.9900,0.0000,0,486.7066,486.7066,782.9900,62.6392,19.5748,,,1
SO51245,2,12124,222,20210603,20210613,20210610,1,100,7,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO51319,3,28758,477,20210608,20210618,20210615,1,100,7,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO51394,2,19416,540,20210613,20210623,20210620,1,98,10,1,32.6000,32.6000,0.0000,0,12.1924,12.1924,32.6000,2.6080,0.8150,,,1
SO51469,2,11168,528,20210618,20210628,20210625,1,100,4,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO51543,4,18210,225,20210623,20210703,20210630,1,6,9,1,8.9900,8.9900,0.0000,0,6.9223,6.9223,8.9900,0.7192,0.2248,,,1
SO51619,1,20832,583,20210627,20210707,20210704,1,98,10,1,1700.9900,1700.9900,0.0000,0,1082.5100,1082.5100,1700.9900,136.0792,42.5248,,,1
SO51887,2,11530,465,20210701,20210711,20210708,1,19,6,1,24.4900,24.4900,0.0000,0,9.1593,9.1593,24.4900,1.9592,0.6123,,,1
SO51969,1,14052,535,20210703,20210713,20210710,1,6,9,1,24.9900,24.9900,0.0000,0,9.3463,9.3463,24.9900,1.9992,0.6248,,,1
SO52060,1,18699,582,20210704,20210714,20210711,1,6,9,1,1700.9900,1700.9900,0.0000,0,1082.5100,1082.5100,1700.9900,136.0792,42.5248,,,1
SO52152,1,23224,382,20210706,20210716,20210713,2,98,10,1,1120.4900,1120.4900,0.0000,0,713.0798,713.0798,1120.4900,89.6392,28.0123,,,1
SO52234,3,22163,480,20210708,20210718,20210715,1,100,4,1,2.2900,2.2900,0.0000,0,0.8565,0.8565,2.2900,0.1832,0.0573,,,1
SO52311,1,21868,477,20210709,20210719,20210716,1,100,8,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO52397,1,11683,359,20210711,20210721,20210718,1,100,4,1,2294.9900,2294.9900,0.0000,0,1251.9813,1251.9813,2294.9900,183.5992,57.3748,,,1
SO52482,1,16324,590,20210713,20210723,20210720,2,98,10,1,769.4900,769.4900,0.0000,0,419.7784,419.7784,769.4900,61.5592,19.2373,,,1
SO52569,2,19766,477,20210714,20210724,20210721,1,6,9,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO52652,1,11923,537,20210716,20210726,20210723,1,100,4,1,35.0000,35.0000,0.0000,0,13.0900,13.0900,35.0000,2.8000,0.8750,,,1
SO52738,2,23069,528,20210718,20210728,20210725,1,100,4,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO52826,1,11647,357,20210719,20210729,20210726,1,19,6,1,2319.9900,2319.9900,0.0000,0,1265.6195,1265.6195,2319.9900,185.5992,57.9998,,,1
SO52909,3,25788,217,20210721,20210731,20210728,1,100,8,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO53003,1,18303,378,20210723,20210802,20210730,1,6,9,1,2443.3500,2443.3500,0.0000,0,1554.9479,1554.9479,2443.3500,195.4680,61.0838,,,1
SO53085,3,11178,217,20210725,20210804,20210801,1,100,4,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO53172,1,17648,569,20210726,20210805,20210802,1,100,7,1,742.3500,742.3500,0.0000,0,461.4448,461.4448,742.3500,59.3880,18.5588,,,1
SO55507,3,17729,214,20210903,20210913,20210910,1,6,9,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO56427,2,23775,214,20210919,20210929,20210926,1,98,10,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO56510,2,14280,217,20210921,20211001,20210928,1,100,1,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO56591,4,22780,486,20210922,20211002,20210929,1,100,4,1,159.0000,159.0000,0.0000,0,59.4660,59.4660,159.0000,12.7200,3.9750,,,1
SO56677,1,11805,537,20210924,20211004,20211001,1,100,4,1,35.0000,35.0000,0.0000,0,13.0900,13.0900,35.0000,2.8000,0.8750,,,1
SO56757,1,24909,388,20210926,20211006,20211003,1,6,9,1,1120.4900,1120.4900,0.0000,0,713.0798,713.0798,1120.4900,89.6392,28.0123,,,1
SO56844,2,19577,477,20210927,20211007,20211004,1,6,9,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO56941,2,26357,222,20210929,20211009,20211006,1,100,7,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO57209,1,16950,478,20211001,20211011,20211008,1,19,6,1,9.9900,9.9900,0.0000,0,3.7363,3.7363,9.9900,0.7992,0.2498,,,1
SO57300,4,15926,225,20211002,20211012,20211009,1,100,8,1,8.9900,8.9900,0.0000,0,6.9223,6.9223,8.9900,0.7192,0.2248,,,1
SO43697,1,21768,310,20190701,20190711,20190708,1,19,6,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO43979,1,14576,322,20190723,20190802,20190730,1,100,1,1,699.0982,699.0982,0.0000,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,1
SO44246,1,12219,312,20190825,20190904,20190901,1,39,7,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO44583,1,18210,310,20191003,20191013,20191010,1,6,9,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO44853,1,19874,348,20191107,20191117,20191114,1,19,6,1,3374.9900,3374.9900,0.0000,0,1898.0944,1898.0944,3374.9900,269.9992,84.3748,,,1
SO45100,1,19428,326,20191205,20191215,20191212,1,100,8,1,699.0982,699.0982,0.0000,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,1
SO45386,1,19607,312,20200106,20200116,20200113,1,6,9,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO45657,1,11266,311,20200210,20200220,20200217,1,100,1,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO45901,1,11665,312,20200315,20200325,20200322,1,100,4,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO46193,1,18634,342,20200412,20200422,20200419,1,100,7,1,699.0982,699.0982,0.0000,0,413.1463,413.1463,699.0982,55.9279,17.4775,,,1
SO46468,1,24431,311,20200512,20200522,20200519,1,19,6,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO46747,1,26127,360,20200608,20200618,20200615,1,100,1,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO47093,1,13380,369,20200704,20200714,20200711,2,100,4,1,2443.3500,2443.3500,0.0000,0,1518.7864,1518.7864,2443.3500,195.4680,61.0838,,,1
SO47300,1,20717,337,20200726,20200805,20200802,1,98,10,1,782.9900,782.9900,0.0000,0,486.7066,486.7066,782.9900,62.6392,19.5748,,,1
SO47619,1,12689,356,20200824,20200903,20200831,1,6,9,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO47899,1,12996,358,20200922,20201002,20200929,1,6,9,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO48239,1,13700,373,20201025,20201104,20201101,1,100,4,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO48560,1,26561,327,20201113,20201123,20201120,1,6,9,1,782.9900,782.9900,0.0000,0,486.7066,486.7066,782.9900,62.6392,19.5748,,,1
SO48832,1,23418,373,20201205,20201215,20201212,1,6,9,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO49171,1,13865,375,20210101,20210111,20210108,1,100,4,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO49378,1,27051,360,20210121,20210131,20210128,1,100,4,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO49691,1,23662,373,20210213,20210223,20210220,1,6,9,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO49972,1,15211,356,20210308,20210318,20210315,1,6,9,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO50179,1,17769,377,20210330,20210409,20210406,1,100,8,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO50520,1,27264,356,20210419,20210429,20210426,1,100,1,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO50552,1,16430,375,20210422,20210502,20210429,1,100,7,1,2181.5625,2181.5625,0.0000,0,1320.6838,1320.6838,2181.5625,174.5250,54.5391,,,1
SO50861,1,27534,356,20210510,20210520,20210517,1,100,4,1,2071.4196,2071.4196,0.0000,0,1117.8559,1117.8559,2071.4196,165.7136,51.7855,,,1
SO51068,1,15801,360,20210529,20210608,20210605,1,6,9,1,2049.0982,2049.0982,0.0000,0,1105.8100,1105.8100,2049.0982,163.9279,51.2275,,,1
SO51245,3,12124,225,20210603,20210613,20210610,1,100,7,1,8.9900,8.9900,0.0000,0,6.9223,6.9223,8.9900,0.7192,0.2248,,,1
SO51320,1,24061,561,20210608,20210618,20210615,1,100,7,1,2384.0700,2384.0700,0.0000,0,1481.9379,1481.9379,2384.0700,190.7256,59.6018,,,1
SO51395,1,20181,374,20210613,20210623,20210620,2,100,4,1,2443.3500,2443.3500,0.0000,0,1554.9479,1554.9479,2443.3500,195.4680,61.0838,,,1
SO51469,3,11168,537,20210618,20210628,20210625,1,100,4,1,35.0000,35.0000,0.0000,0,13.0900,13.0900,35.0000,2.8000,0.8750,,,1
SO51544,1,11244,355,20210623,20210703,20210630,1,98,10,1,2319.9900,2319.9900,0.0000,0,1265.6195,1265.6195,2319.9900,185.5992,57.9998,,,1
SO51619,2,20832,231,20210627,20210707,20210704,1,98,10,1,49.9900,49.9900,0.0000,0,38.4923,38.4923,49.9900,3.9992,1.2498,,,1
SO51888,1,29079,529,20210701,20210711,20210708,1,100,4,1,3.9900,3.9900,0.0000,0,1.4923,1.4923,3.9900,0.3192,0.0998,,,1
SO51969,2,14052,480,20210703,20210713,20210710,1,6,9,1,2.2900,2.2900,0.0000,0,0.8565,0.8565,2.2900,0.1832,0.0573,,,1
SO52060,2,18699,539,20210704,20210714,20210711,1,6,9,1,24.9900,24.9900,0.0000,0,9.3463,9.3463,24.9900,1.9992,0.6248,,,1
SO52152,2,23224,490,20210706,20210716,20210713,1,98,10,1,53.9900,53.9900,0.0000,0,41.5723,41.5723,53.9900,4.3192,1.3498,,,1
SO52235,1,23277,477,20210708,20210718,20210715,1,100,4,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO52312,1,29428,541,20210709,20210719,20210716,1,100,8,1,28.9900,28.9900,0.0000,0,10.8423,10.8423,28.9900,2.3192,0.7248,,,1
SO52397,2,11683,477,20210711,20210721,20210718,1,100,4,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO52482,2,16324,528,20210713,20210723,20210720,1,98,10,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO52569,3,19766,479,20210714,20210724,20210721,1,6,9,1,8.9900,8.9900,0.0000,0,3.3623,3.3623,8.9900,0.7192,0.2248,,,1
SO52653,1,14339,485,20210716,20210726,20210723,1,100,4,1,21.9800,21.9800,0.0000,0,8.2205,8.2205,21.9800,1.7584,0.5495,,,1
SO52738,3,23069,222,20210718,20210728,20210725,1,100,4,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO52826,2,11647,485,20210719,20210729,20210726,1,19,6,1,21.9800,21.9800,0.0000,0,8.2205,8.2205,21.9800,1.7584,0.5495,,,1
SO52910,1,24855,538,20210721,20210731,20210728,1,100,8,1,21.4900,21.4900,0.0000,0,8.0373,8.0373,21.4900,1.7192,0.5373,,,1
SO53003,2,18303,479,20210723,20210802,20210730,1,6,9,1,8.9900,8.9900,0.0000,0,3.3623,3.3623,8.9900,0.7192,0.2248,,,1
SO53086,1,28793,539,20210725,20210804,20210801,1,100,1,1,24.9900,24.9900,0.0000,0,9.3463,9.3463,24.9900,1.9992,0.6248,,,1
SO53172,2,17648,214,20210726,20210805,20210802,1,100,7,1,34.9900,34.9900,0.0000,0,13.0863,13.0863,34.9900,2.7992,0.8748,,,1
SO55507,4,17729,237,20210903,20210913,20210910,1,6,9,1,49.9900,49.9900,0.0000,0,38.4923,38.4923,49.9900,3.9992,1.2498,,,1
SO56428,1,27967,584,20210919,20210929,20210926,1,98,10,1,539.9900,539.9900,0.0000,0,343.6496,343.6496,539.9900,43.1992,13.4998,,,1
SO56511,1,13748,485,20210921,20211001,20210928,1,100,1,1,21.9800,21.9800,0.0000,0,8.2205,8.2205,21.9800,1.7584,0.5495,,,1
SO56592,1,19768,390,20210922,20211002,20210929,1,100,4,1,1120.4900,1120.4900,0.0000,0,713.0798,713.0798,1120.4900,89.6392,28.0123,,,1
SO56677,2,11805,528,20210924,20211004,20211001,1,100,4,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO56757,2,24909,539,20210926,20211006,20211003,1,6,9,1,24.9900,24.9900,0.0000,0,9.3463,9.3463,24.9900,1.9992,0.6248,,,1
SO56844,3,19577,479,20210927,20211007,20211004,1,6,9,1,8.9900,8.9900,0.0000,0,3.3623,3.3623,8.9900,0.7192,0.2248,,,1
SO56942,1,17046,589,20210929,20211009,20211006,1,6,9,1,769.4900,769.4900,0.0000,0,419.7784,419.7784,769.4900,61.5592,19.2373,,,1
SO57209,2,16950,477,20211001,20211011,20211008,1,19,6,1,4.9900,4.9900,0.0000,0,1.8663,1.8663,4.9900,0.3992,0.1248,,,1
SO57301,1,24914,386,20211003,20211013,20211010,1,6,9,1,1120.4900,1120.4900,0.0000,0,713.0798,713.0798,1120.4900,89.6392,28.0123,,,1
SO43698,1,28389,346,20190701,20190711,20190708,1,39,7,1,3399.9900,3399.9900,0.0000,0,1912.1544,1912.1544,3399.9900,271.9992,84.9998,,,1
SO43980,1,11048,351,20190723,20190802,20190730,1,6,9,1,3374.9900,3374.9900,0.0000,0,1898.0944,1898.0944,3374.9900,269.9992,84.3748,,,1
SO44247,1,17233,310,20190825,20190904,20190901,1,6,9,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO44584,1,28671,313,20191004,20191014,20191011,1,100,1,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO44854,1,29004,311,20191107,20191117,20191114,1,100,4,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO45101,1,22748,313,20191205,20191215,20191212,1,19,6,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO45387,1,11224,310,20200107,20200117,20200114,1,100,1,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO45658,1,11270,312,20200210,20200220,20200217,1,100,4,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
SO45902,1,15614,314,20200315,20200325,20200322,1,98,10,1,3578.2700,3578.2700,0.0000,0,2171.2942,2171.2942,3578.2700,286.2616,89.4568,,,1
