player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
J. Bruun Larsen,1899 Hoffenheim,Bundesliga,10,Attacker,9.0,6.0,1,2,92,2,1,1,0,66.66666666666666,0.6,0.1,0.2,9.2,0.2,0.1,0.0,0.1
F. Grillitsch,1899 Hoffenheim,Bundesliga,8,Midfielder,4.0,1.0,0,0,412,15,11,4,1,25.0,0.125,0.0,0.0,51.5,1.875,0.5,0.125,1.375
A. Kramarić,1899 Hoffenheim,Bundesliga,12,Attacker,17.0,7.0,5,1,422,6,17,6,3,41.17647058823529,0.5833333333333334,0.4166666666666667,0.08333333333333333,35.166666666666664,0.5,0.5,0.25,1.4166666666666667
M. Berisha,1899 Hoffenheim,Bundesliga,10,Attacker,6.0,3.0,1,1,50,2,5,4,1,50.0,0.3,0.1,0.1,5.0,0.2,0.4,0.1,0.5
M. Bülter,1899 Hoffenheim,Bundesliga,11,Attacker,12.0,7.0,4,1,166,6,14,6,2,58.333333333333336,0.6363636363636364,0.36363636363636365,0.09090909090909091,15.090909090909092,0.5454545454545454,0.5454545454545454,0.18181818181818182,1.2727272727272727
H. Tabaković,1899 Hoffenheim,Bundesliga,8,Attacker,9.0,5.0,1,0,58,1,1,6,0,55.55555555555556,0.625,0.125,0.0,7.25,0.125,0.75,0.0,0.125
A. Hložek,1899 Hoffenheim,Bundesliga,12,Attacker,21.0,14.0,3,1,198,12,15,11,1,66.66666666666666,1.1666666666666667,0.25,0.08333333333333333,16.5,1.0,0.9166666666666666,0.08333333333333333,1.25
A. Stach,1899 Hoffenheim,Bundesliga,13,Midfielder,9.0,5.0,0,1,729,35,14,9,3,55.55555555555556,0.38461538461538464,0.0,0.07692307692307693,56.07692307692308,2.6923076923076925,0.6923076923076923,0.23076923076923078,1.0769230769230769
U. Tohumcu,1899 Hoffenheim,Bundesliga,8,Midfielder,2.0,1.0,0,1,104,9,4,4,2,50.0,0.125,0.0,0.125,13.0,1.125,0.5,0.25,0.5
Arthur Chaves,1899 Hoffenheim,Bundesliga,7,Defender,2.0,,0,0,316,11,4,6,1,,,0.0,0.0,45.142857142857146,1.5714285714285714,0.8571428571428571,0.14285714285714285,0.5714285714285714
T. Bischof,1899 Hoffenheim,Bundesliga,11,Midfielder,10.0,5.0,2,1,468,49,9,16,2,50.0,0.45454545454545453,0.18181818181818182,0.09090909090909091,42.54545454545455,4.454545454545454,1.4545454545454546,0.18181818181818182,0.8181818181818182
Max Moerstedt,1899 Hoffenheim,Bundesliga,6,Attacker,1.0,1.0,0,0,32,3,3,2,1,100.0,0.16666666666666666,0.0,0.0,5.333333333333333,0.5,0.3333333333333333,0.16666666666666666,0.5
S. Nsoki,1899 Hoffenheim,Bundesliga,7,Defender,1.0,1.0,0,0,363,8,4,5,0,100.0,0.14285714285714285,0.0,0.0,51.857142857142854,1.1428571428571428,0.7142857142857143,0.0,0.5714285714285714
P. Kadeřábek,1899 Hoffenheim,Bundesliga,10,Defender,4.0,1.0,0,0,276,14,3,9,4,25.0,0.1,0.0,0.0,27.6,1.4,0.9,0.4,0.3
A. Prass,1899 Hoffenheim,Bundesliga,12,Defender,4.0,,0,1,498,17,15,10,1,,,0.0,0.08333333333333333,41.5,1.4166666666666667,0.8333333333333334,0.08333333333333333,1.25
K. Akpoguma,1899 Hoffenheim,Bundesliga,12,Defender,,,0,0,525,18,8,16,3,,,0.0,0.0,43.75,1.5,1.3333333333333333,0.25,0.6666666666666666
V. Gendrey,1899 Hoffenheim,Bundesliga,10,Defender,2.0,2.0,1,0,186,14,13,2,0,100.0,0.2,0.1,0.0,18.6,1.4,0.2,0.0,1.3
T. Drexler,1899 Hoffenheim,Bundesliga,8,Defender,2.0,2.0,0,0,175,18,2,8,2,100.0,0.25,0.0,0.0,21.875,2.25,1.0,0.25,0.25
