player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
Álvaro Morata,AC Milan,Serie A,11,Attacker,14,7.0,4,0,191,8,15,21,3,50.0,0.6363636363636364,0.36363636363636365,0.0,17.363636363636363,0.7272727272727273,1.9090909090909092,0.2727272727272727,1.3636363636363635
S. Chukwueze,AC Milan,Serie A,14,Attacker,9,4.0,1,0,179,6,7,1,0,44.44444444444444,0.2857142857142857,0.07142857142857142,0.0,12.785714285714286,0.42857142857142855,0.07142857142857142,0.0,0.5
T. Abraham,AC Milan,Serie A,9,Attacker,13,9.0,2,1,64,5,3,11,0,69.23076923076923,1.0,0.2222222222222222,0.1111111111111111,7.111111111111111,0.5555555555555556,1.2222222222222223,0.0,0.3333333333333333
Rafael Leão,AC Milan,Serie A,13,Attacker,25,15.0,3,4,329,7,19,5,1,60.0,1.1538461538461537,0.23076923076923078,0.3076923076923077,25.307692307692307,0.5384615384615384,0.38461538461538464,0.07692307692307693,1.4615384615384615
Y. Fofana,AC Milan,Serie A,13,Midfielder,7,2.0,1,2,620,21,8,9,4,28.57142857142857,0.15384615384615385,0.07692307692307693,0.15384615384615385,47.69230769230769,1.6153846153846154,0.6923076923076923,0.3076923076923077,0.6153846153846154
N. Okafor,AC Milan,Serie A,10,Attacker,12,6.0,1,0,88,2,4,6,0,50.0,0.6,0.1,0.0,8.8,0.2,0.6,0.0,0.4
Y. Musah,AC Milan,Serie A,12,Midfielder,5,,0,1,271,11,5,13,1,,,0.0,0.08333333333333333,22.583333333333332,0.9166666666666666,1.0833333333333333,0.08333333333333333,0.4166666666666667
C. Pulišić,AC Milan,Serie A,14,Midfielder,17,11.0,5,4,379,20,15,8,0,64.70588235294117,0.7857142857142857,0.35714285714285715,0.2857142857142857,27.071428571428573,1.4285714285714286,0.5714285714285714,0.0,1.0714285714285714
Emerson Royal,AC Milan,Serie A,12,Defender,2,,0,0,523,28,22,24,3,,,0.0,0.0,43.583333333333336,2.3333333333333335,2.0,0.25,1.8333333333333333
R. Loftus-Cheek,AC Milan,Serie A,13,Midfielder,4,2.0,0,0,278,14,19,13,1,50.0,0.15384615384615385,0.0,0.0,21.384615384615383,1.0769230769230769,1.0,0.07692307692307693,1.4615384615384615
F. Tomori,AC Milan,Serie A,8,Defender,2,,0,0,418,8,2,2,1,,,0.0,0.0,52.25,1.0,0.25,0.125,0.25
T. Reijnders,AC Milan,Serie A,13,Midfielder,13,7.0,3,2,503,5,4,6,1,53.84615384615385,0.5384615384615384,0.23076923076923078,0.15384615384615385,38.69230769230769,0.38461538461538464,0.46153846153846156,0.07692307692307693,0.3076923076923077
S. Pavlović,AC Milan,Serie A,10,Defender,4,3.0,1,0,512,17,5,4,1,75.0,0.3,0.1,0.0,51.2,1.7,0.4,0.1,0.5
T. Hernández,AC Milan,Serie A,12,Defender,9,5.0,2,2,462,12,16,4,1,55.55555555555556,0.4166666666666667,0.16666666666666666,0.16666666666666666,38.5,1.0,0.3333333333333333,0.08333333333333333,1.3333333333333333
M. Gabbia,AC Milan,Serie A,7,Defender,5,1.0,1,0,394,6,2,2,2,20.0,0.14285714285714285,0.14285714285714285,0.0,56.285714285714285,0.8571428571428571,0.2857142857142857,0.2857142857142857,0.2857142857142857
M. Thiaw,AC Milan,Serie A,8,Defender,1,1.0,0,0,501,9,1,8,0,100.0,0.125,0.0,0.0,62.625,1.125,1.0,0.0,0.125
