player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
D. Malen,Borussia Dortmund,Bundesliga,12,Attacker,9,5.0,2,0,146,,7.0,1,0,55.55555555555556,0.4166666666666667,0.16666666666666666,0.0,12.166666666666666,,0.08333333333333333,0.0,0.5833333333333334
E. Can,Borussia Dortmund,Bundesliga,11,Midfielder,5,2.0,2,0,457,18.0,5.0,7,1,40.0,0.18181818181818182,0.18181818181818182,0.0,41.54545454545455,1.6363636363636365,0.6363636363636364,0.09090909090909091,0.45454545454545453
M. Beier,Borussia Dortmund,Bundesliga,12,Attacker,7,3.0,2,1,151,13.0,7.0,8,2,42.857142857142854,0.25,0.16666666666666666,0.08333333333333333,12.583333333333334,1.0833333333333333,0.6666666666666666,0.16666666666666666,0.5833333333333334
J. Bynoe-Gittens,Borussia Dortmund,Bundesliga,13,Attacker,16,12.0,5,3,200,16.0,16.0,17,2,75.0,0.9230769230769231,0.38461538461538464,0.23076923076923078,15.384615384615385,1.2307692307692308,1.3076923076923077,0.15384615384615385,1.2307692307692308
N. Süle,Borussia Dortmund,Bundesliga,7,Defender,5,1.0,0,0,457,5.0,,3,1,20.0,0.14285714285714285,0.0,0.0,65.28571428571429,0.7142857142857143,0.42857142857142855,0.14285714285714285,
F. Nmecha,Borussia Dortmund,Bundesliga,12,Midfielder,3,2.0,2,1,411,18.0,13.0,9,0,66.66666666666666,0.16666666666666666,0.16666666666666666,0.08333333333333333,34.25,1.5,0.75,0.0,1.0833333333333333
J. Brandt,Borussia Dortmund,Bundesliga,11,Midfielder,13,7.0,1,3,451,8.0,7.0,2,1,53.84615384615385,0.6363636363636364,0.09090909090909091,0.2727272727272727,41.0,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.6363636363636364
M. Sabitzer,Borussia Dortmund,Bundesliga,12,Midfielder,9,5.0,0,0,384,14.0,4.0,7,2,55.55555555555556,0.4166666666666667,0.0,0.0,32.0,1.1666666666666667,0.5833333333333334,0.16666666666666666,0.3333333333333333
R. Bensebaïni,Borussia Dortmund,Bundesliga,12,Defender,5,2.0,1,3,408,20.0,7.0,13,5,40.0,0.16666666666666666,0.08333333333333333,0.25,34.0,1.6666666666666667,1.0833333333333333,0.4166666666666667,0.5833333333333334
P. Groß,Borussia Dortmund,Bundesliga,13,Midfielder,3,1.0,0,1,744,18.0,7.0,9,3,33.33333333333333,0.07692307692307693,0.0,0.07692307692307693,57.23076923076923,1.3846153846153846,0.6923076923076923,0.23076923076923078,0.5384615384615384
J. Ryerson,Borussia Dortmund,Bundesliga,12,Defender,5,3.0,1,1,435,15.0,9.0,16,2,60.0,0.25,0.08333333333333333,0.08333333333333333,36.25,1.25,1.3333333333333333,0.16666666666666666,0.75
W. Anton,Borussia Dortmund,Bundesliga,10,Defender,5,,0,0,875,15.0,11.0,9,2,,,0.0,0.0,87.5,1.5,0.9,0.2,1.1
N. Schlotterbeck,Borussia Dortmund,Bundesliga,12,Defender,4,2.0,0,2,1103,29.0,12.0,13,4,50.0,0.16666666666666666,0.0,0.16666666666666666,91.91666666666667,2.4166666666666665,1.0833333333333333,0.3333333333333333,1.0
Yan Couto,Borussia Dortmund,Bundesliga,7,Defender,2,1.0,0,0,189,5.0,4.0,4,3,50.0,0.14285714285714285,0.0,0.0,27.0,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.5714285714285714
S. Guirassy,Borussia Dortmund,Bundesliga,10,Attacker,22,11.0,6,1,186,3.0,23.0,6,0,50.0,1.1,0.6,0.1,18.6,0.3,0.6,0.0,2.3
