player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
M. Roerslev,Brentford,Premier League,11,Defender,1,,0,1,221,6,3,2,1,,,0.0,0.09090909090909091,20.09090909090909,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.2727272727272727
M. Damsgaard,Brentford,Premier League,15,Midfielder,9,5.0,2,5,467,40,12,6,0,55.55555555555556,0.3333333333333333,0.13333333333333333,0.3333333333333333,31.133333333333333,2.6666666666666665,0.4,0.0,0.8
N. Collins,Brentford,Premier League,15,Defender,8,5.0,2,1,864,18,10,12,2,62.5,0.3333333333333333,0.13333333333333333,0.06666666666666667,57.6,1.2,0.8,0.13333333333333333,0.6666666666666666
B. Mbeumo,Brentford,Premier League,15,Midfielder,20,14.0,9,2,425,17,17,10,2,70.0,0.9333333333333333,0.6,0.13333333333333333,28.333333333333332,1.1333333333333333,0.6666666666666666,0.13333333333333333,1.1333333333333333
Y. Wissa,Brentford,Premier League,12,Midfielder,19,14.0,9,1,213,2,19,7,1,73.68421052631578,1.1666666666666667,0.75,0.08333333333333333,17.75,0.16666666666666666,0.5833333333333334,0.08333333333333333,1.5833333333333333
V. Janelt,Brentford,Premier League,14,Midfielder,7,3.0,1,3,517,17,7,13,1,42.857142857142854,0.21428571428571427,0.07142857142857142,0.21428571428571427,36.92857142857143,1.2142857142857142,0.9285714285714286,0.07142857142857142,0.5
C. Nørgaard,Brentford,Premier League,11,Midfielder,8,4.0,1,2,491,34,14,16,2,50.0,0.36363636363636365,0.09090909090909091,0.18181818181818182,44.63636363636363,3.090909090909091,1.4545454545454546,0.18181818181818182,1.2727272727272727
M. Jensen,Brentford,Premier League,8,Midfielder,4,1.0,0,1,195,4,9,6,1,25.0,0.125,0.0,0.125,24.375,0.5,0.75,0.125,1.125
K. Lewis-Potter,Brentford,Premier League,15,Attacker,8,6.0,0,1,325,20,10,6,3,75.0,0.4,0.0,0.06666666666666667,21.666666666666668,1.3333333333333333,0.4,0.2,0.6666666666666666
Fábio Carvalho,Brentford,Premier League,14,Midfielder,5,4.0,1,1,141,13,9,4,1,80.0,0.2857142857142857,0.07142857142857142,0.07142857142857142,10.071428571428571,0.9285714285714286,0.2857142857142857,0.07142857142857142,0.6428571428571429
K. Schade,Brentford,Premier League,15,Midfielder,13,9.0,4,1,129,17,9,7,1,69.23076923076923,0.6,0.26666666666666666,0.06666666666666667,8.6,1.1333333333333333,0.4666666666666667,0.06666666666666667,0.6
Y. Yarmolyuk,Brentford,Premier League,11,Midfielder,2,1.0,0,0,201,11,1,2,1,50.0,0.09090909090909091,0.0,0.0,18.272727272727273,1.0,0.18181818181818182,0.09090909090909091,0.09090909090909091
K. Ajer,Brentford,Premier League,8,Defender,1,1.0,0,0,263,7,3,6,3,100.0,0.125,0.0,0.0,32.875,0.875,0.75,0.375,0.375
E. Pinnock,Brentford,Premier League,15,Defender,9,6.0,2,0,763,28,2,5,2,66.66666666666666,0.4,0.13333333333333333,0.0,50.86666666666667,1.8666666666666667,0.3333333333333333,0.13333333333333333,0.13333333333333333
S. van den Berg,Brentford,Premier League,13,Defender,6,3.0,0,0,477,20,3,10,1,50.0,0.23076923076923078,0.0,0.0,36.69230769230769,1.5384615384615385,0.7692307692307693,0.07692307692307693,0.23076923076923078
