player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
D. Maeda,Celtic,Premiership,14,Attacker,15.0,5.0,2,3,269,15,9,32,3,33.33333333333333,0.35714285714285715,0.14285714285714285,0.21428571428571427,19.214285714285715,1.0714285714285714,2.2857142857142856,0.21428571428571427,0.6428571428571429
N. Kühn,Celtic,Premiership,13,Attacker,17.0,12.0,5,6,382,19,6,11,3,70.58823529411765,0.9230769230769231,0.38461538461538464,0.46153846153846156,29.384615384615383,1.4615384615384615,0.8461538461538461,0.23076923076923078,0.46153846153846156
Yang Hyun-Jun,Celtic,Premiership,6,Attacker,3.0,1.0,0,0,86,3,1,3,0,33.33333333333333,0.16666666666666666,0.0,0.0,14.333333333333334,0.5,0.5,0.0,0.16666666666666666
A. Ralston,Celtic,Premiership,7,Defender,3.0,1.0,1,0,191,3,2,1,0,33.33333333333333,0.14285714285714285,0.14285714285714285,0.0,27.285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.2857142857142857
J. Forrest,Celtic,Premiership,15,Midfielder,9.0,5.0,0,4,335,7,3,2,0,55.55555555555556,0.3333333333333333,0.0,0.26666666666666666,22.333333333333332,0.4666666666666667,0.13333333333333333,0.0,0.2
C. McGregor,Celtic,Premiership,13,Midfielder,12.0,7.0,6,1,1116,11,9,5,1,58.333333333333336,0.5384615384615384,0.46153846153846156,0.07692307692307693,85.84615384615384,0.8461538461538461,0.38461538461538464,0.07692307692307693,0.6923076923076923
C. Carter-Vickers,Celtic,Premiership,10,Defender,,,0,0,1039,14,7,4,0,,,0.0,0.0,103.9,1.4,0.4,0.0,0.7
K. Furuhashi,Celtic,Premiership,14,Attacker,34.0,24.0,6,3,85,1,6,5,0,70.58823529411765,1.7142857142857142,0.42857142857142855,0.21428571428571427,6.071428571428571,0.07142857142857142,0.35714285714285715,0.0,0.42857142857142855
L. McCowan,Celtic,Premiership,11,Midfielder,13.0,6.0,3,3,323,7,11,10,0,46.15384615384615,0.5454545454545454,0.2727272727272727,0.2727272727272727,29.363636363636363,0.6363636363636364,0.9090909090909091,0.0,1.0
A. Trusty,Celtic,Premiership,9,Defender,6.0,2.0,0,0,1020,16,6,4,1,33.33333333333333,0.2222222222222222,0.0,0.0,113.33333333333333,1.7777777777777777,0.4444444444444444,0.1111111111111111,0.6666666666666666
L. Scales,Celtic,Premiership,13,Defender,7.0,4.0,2,1,1429,16,10,7,1,57.14285714285714,0.3076923076923077,0.15384615384615385,0.07692307692307693,109.92307692307692,1.2307692307692308,0.5384615384615384,0.07692307692307693,0.7692307692307693
A. Idah,Celtic,Premiership,12,Attacker,23.0,16.0,5,0,103,2,5,2,0,69.56521739130434,1.3333333333333333,0.4166666666666667,0.0,8.583333333333334,0.16666666666666666,0.16666666666666666,0.0,0.4166666666666667
Paulo Bernardo,Celtic,Premiership,14,Midfielder,6.0,3.0,2,2,440,30,7,9,1,50.0,0.21428571428571427,0.14285714285714285,0.14285714285714285,31.428571428571427,2.142857142857143,0.6428571428571429,0.07142857142857142,0.5
A. Engels,Celtic,Premiership,12,Midfielder,11.0,5.0,3,0,418,7,9,7,2,45.45454545454545,0.4166666666666667,0.25,0.0,34.833333333333336,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.75
R. Hatate,Celtic,Premiership,15,Midfielder,25.0,9.0,4,0,630,15,15,10,1,36.0,0.6,0.26666666666666666,0.0,42.0,1.0,0.6666666666666666,0.06666666666666667,1.0
Álex Valle,Celtic,Premiership,6,Defender,5.0,3.0,0,2,398,8,8,4,1,60.0,0.5,0.0,0.3333333333333333,66.33333333333333,1.3333333333333333,0.6666666666666666,0.16666666666666666,1.3333333333333333
G. Taylor,Celtic,Premiership,12,Defender,2.0,1.0,0,4,825,22,13,7,3,50.0,0.08333333333333333,0.0,0.3333333333333333,68.75,1.8333333333333333,0.5833333333333334,0.25,1.0833333333333333
A. Johnston,Celtic,Premiership,12,Defender,8.0,7.0,4,4,991,25,17,16,2,87.5,0.5833333333333334,0.3333333333333333,0.3333333333333333,82.58333333333333,2.0833333333333335,1.3333333333333333,0.16666666666666666,1.4166666666666667
