player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
J. Sancho,Chelsea,Premier League,9,Attacker,4.0,3.0,2,3,233,1,2,2,1,75.0,0.3333333333333333,0.2222222222222222,0.3333333333333333,25.88888888888889,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222
C. Nkunku,Chelsea,Premier League,14,Attacker,10.0,5.0,2,1,102,3,3,9,1,50.0,0.35714285714285715,0.14285714285714285,0.07142857142857142,7.285714285714286,0.21428571428571427,0.6428571428571429,0.07142857142857142,0.21428571428571427
João Félix,Chelsea,Premier League,9,Attacker,12.0,3.0,1,1,157,7,13,5,2,25.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,17.444444444444443,0.7777777777777778,0.5555555555555556,0.2222222222222222,1.4444444444444444
Pedro Neto,Chelsea,Premier League,13,Attacker,9.0,5.0,1,2,242,9,11,7,5,55.55555555555556,0.38461538461538464,0.07692307692307693,0.15384615384615385,18.615384615384617,0.6923076923076923,0.5384615384615384,0.38461538461538464,0.8461538461538461
M. Caicedo,Chelsea,Premier League,15,Midfielder,4.0,1.0,1,2,837,47,19,30,3,25.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,55.8,3.1333333333333333,2.0,0.2,1.2666666666666666
N. Madueke,Chelsea,Premier League,14,Attacker,34.0,20.0,5,2,271,14,12,11,3,58.82352941176471,1.4285714285714286,0.35714285714285715,0.14285714285714285,19.357142857142858,1.0,0.7857142857142857,0.21428571428571427,0.8571428571428571
R. Lavia,Chelsea,Premier League,9,Midfielder,,,0,1,264,15,2,9,3,,,0.0,0.1111111111111111,29.333333333333332,1.6666666666666667,1.0,0.3333333333333333,0.2222222222222222
N. Jackson,Chelsea,Premier League,14,Attacker,28.0,20.0,8,3,188,7,13,13,4,71.42857142857143,1.4285714285714286,0.5714285714285714,0.21428571428571427,13.428571428571429,0.5,0.9285714285714286,0.2857142857142857,0.9285714285714286
Renato Veiga,Chelsea,Premier League,7,Midfielder,3.0,1.0,0,0,132,9,1,6,2,33.33333333333333,0.14285714285714285,0.0,0.0,18.857142857142858,1.2857142857142858,0.8571428571428571,0.2857142857142857,0.14285714285714285
E. Fernández,Chelsea,Premier League,14,Midfielder,9.0,5.0,3,3,616,32,16,13,1,55.55555555555556,0.35714285714285715,0.21428571428571427,0.21428571428571427,44.0,2.2857142857142856,0.9285714285714286,0.07142857142857142,1.1428571428571428
W. Fofana,Chelsea,Premier League,12,Defender,2.0,,0,0,687,13,15,19,6,,,0.0,0.0,57.25,1.0833333333333333,1.5833333333333333,0.5,1.25
Marc Cucurella,Chelsea,Premier League,14,Defender,1.0,,0,1,627,24,16,12,6,,,0.0,0.07142857142857142,44.785714285714285,1.7142857142857142,0.8571428571428571,0.42857142857142855,1.1428571428571428
M. Mudryk,Chelsea,Premier League,7,Midfielder,1.0,1.0,0,0,35,2,2,2,0,100.0,0.14285714285714285,0.0,0.0,5.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857
L. Colwill,Chelsea,Premier League,14,Defender,4.0,1.0,0,0,1032,12,10,18,3,25.0,0.07142857142857142,0.0,0.0,73.71428571428571,0.8571428571428571,1.2857142857142858,0.21428571428571427,0.7142857142857143
C. Palmer,Chelsea,Premier League,15,Midfielder,37.0,24.0,11,6,518,10,35,7,3,64.86486486486487,1.6,0.7333333333333333,0.4,34.53333333333333,0.6666666666666666,0.4666666666666667,0.2,2.3333333333333335
M. Gusto,Chelsea,Premier League,12,Defender,8.0,2.0,0,1,506,27,7,10,2,25.0,0.16666666666666666,0.0,0.08333333333333333,42.166666666666664,2.25,0.8333333333333334,0.16666666666666666,0.5833333333333334
