player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
A. Saint-Maximin,Fenerbahce,Süper Lig,13,Attacker,21,13.0,3,2,241,15,14,9,1,61.904761904761905,1.0,0.23076923076923078,0.15384615384615385,18.53846153846154,1.1538461538461537,0.6923076923076923,0.07692307692307693,1.0769230769230769
Y. En-Nesyri,Fenerbahce,Süper Lig,14,Attacker,30,12.0,3,2,124,8,6,8,1,40.0,0.8571428571428571,0.21428571428571427,0.14285714285714285,8.857142857142858,0.5714285714285714,0.5714285714285714,0.07142857142857142,0.42857142857142855
S. Amrabat,Fenerbahce,Süper Lig,10,Midfielder,5,2.0,2,1,525,7,7,8,2,40.0,0.2,0.2,0.1,52.5,0.7,0.8,0.2,0.7
D. Tadić,Fenerbahce,Süper Lig,14,Attacker,17,11.0,7,5,395,15,22,9,0,64.70588235294117,0.7857142857142857,0.5,0.35714285714285715,28.214285714285715,1.0714285714285714,0.6428571428571429,0.0,1.5714285714285714
E. Džeko,Fenerbahce,Süper Lig,14,Attacker,31,18.0,8,1,255,6,18,7,1,58.06451612903226,1.2857142857142858,0.5714285714285714,0.07142857142857142,18.214285714285715,0.42857142857142855,0.5,0.07142857142857142,1.2857142857142858
Rodrigo Becão,Fenerbahce,Süper Lig,10,Defender,5,1.0,1,0,304,6,4,10,1,20.0,0.1,0.1,0.0,30.4,0.6,1.0,0.1,0.4
Fred,Fenerbahce,Süper Lig,11,Midfielder,13,7.0,4,3,456,21,13,10,4,53.84615384615385,0.6363636363636364,0.36363636363636365,0.2727272727272727,41.45454545454545,1.9090909090909092,0.9090909090909091,0.36363636363636365,1.1818181818181819
F. Kostić,Fenerbahce,Süper Lig,8,Midfielder,4,1.0,1,0,220,12,3,12,1,25.0,0.125,0.125,0.0,27.5,1.5,1.5,0.125,0.375
S. Szymański,Fenerbahce,Süper Lig,14,Midfielder,13,5.0,1,2,311,23,15,12,2,38.46153846153847,0.35714285714285715,0.07142857142857142,0.14285714285714285,22.214285714285715,1.6428571428571428,0.8571428571428571,0.14285714285714285,1.0714285714285714
İ. Kahveci,Fenerbahce,Süper Lig,10,Midfielder,3,2.0,0,2,196,11,2,10,1,66.66666666666666,0.2,0.0,0.2,19.6,1.1,1.0,0.1,0.2
M. Yandaş,Fenerbahce,Süper Lig,7,Midfielder,4,2.0,0,2,86,4,2,1,2,50.0,0.2857142857142857,0.0,0.2857142857142857,12.285714285714286,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.2857142857142857
İ. Yüksek,Fenerbahce,Süper Lig,11,Midfielder,5,,0,0,373,28,8,12,1,,,0.0,0.0,33.90909090909091,2.5454545454545454,1.0909090909090908,0.09090909090909091,0.7272727272727273
