player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
A. Pinamonti,Genoa,Serie A,14,Attacker,28,14.0,5,1,226,5.0,15,8,3,50.0,1.0,0.35714285714285715,0.07142857142857142,16.142857142857142,0.35714285714285715,0.5714285714285714,0.21428571428571427,1.0714285714285714
Vítinha,Genoa,Serie A,10,Attacker,9,3.0,0,1,95,10.0,13,3,0,33.33333333333333,0.3,0.0,0.1,9.5,1.0,0.3,0.0,1.3
J. Ekhator,Genoa,Serie A,10,Attacker,5,3.0,1,1,57,,6,5,1,60.0,0.3,0.1,0.1,5.7,,0.5,0.1,0.6
M. Badelj,Genoa,Serie A,13,Midfielder,5,1.0,0,0,492,18.0,11,8,1,20.0,0.07692307692307693,0.0,0.0,37.84615384615385,1.3846153846153846,0.6153846153846154,0.07692307692307693,0.8461538461538461
M. Frendrup,Genoa,Serie A,14,Midfielder,10,4.0,1,0,448,51.0,10,15,2,40.0,0.2857142857142857,0.07142857142857142,0.0,32.0,3.642857142857143,1.0714285714285714,0.14285714285714285,0.7142857142857143
M. Bani,Genoa,Serie A,8,Defender,1,1.0,0,0,349,5.0,5,2,2,100.0,0.125,0.0,0.0,43.625,0.625,0.25,0.25,0.625
S. Sabelli,Genoa,Serie A,14,Defender,3,,0,1,294,23.0,11,15,1,,,0.0,0.07142857142857142,21.0,1.6428571428571428,1.0714285714285714,0.07142857142857142,0.7857142857142857
A. Vogliacco,Genoa,Serie A,11,Defender,4,2.0,2,0,285,12.0,2,10,2,50.0,0.18181818181818182,0.18181818181818182,0.0,25.90909090909091,1.0909090909090908,0.9090909090909091,0.18181818181818182,0.18181818181818182
J. Vásquez,Genoa,Serie A,14,Defender,6,1.0,0,0,609,15.0,4,13,5,16.666666666666664,0.07142857142857142,0.0,0.0,43.5,1.0714285714285714,0.9285714285714286,0.35714285714285715,0.2857142857142857
M. Thorsby,Genoa,Serie A,14,Midfielder,7,3.0,0,1,214,19.0,7,32,2,42.857142857142854,0.21428571428571427,0.0,0.07142857142857142,15.285714285714286,1.3571428571428572,2.2857142857142856,0.14285714285714285,0.5
A. Zanoli,Genoa,Serie A,13,Defender,2,1.0,0,0,157,13.0,7,12,1,50.0,0.07692307692307693,0.0,0.0,12.076923076923077,1.0,0.9230769230769231,0.07692307692307693,0.5384615384615384
F. Miretti,Genoa,Serie A,9,Midfielder,4,2.0,1,0,156,15.0,15,7,0,50.0,0.2222222222222222,0.1111111111111111,0.0,17.333333333333332,1.6666666666666667,0.7777777777777778,0.0,1.6666666666666667
A. Matturro,Genoa,Serie A,8,Defender,3,3.0,0,0,242,9.0,5,7,1,100.0,0.375,0.0,0.0,30.25,1.125,0.875,0.125,0.625
Aarón Martín,Genoa,Serie A,14,Defender,6,3.0,0,1,416,30.0,11,20,4,50.0,0.21428571428571427,0.0,0.07142857142857142,29.714285714285715,2.142857142857143,1.4285714285714286,0.2857142857142857,0.7857142857142857
K. De Winter,Genoa,Serie A,7,Defender,5,3.0,1,0,327,12.0,4,12,4,60.0,0.42857142857142855,0.14285714285714285,0.0,46.714285714285715,1.7142857142857142,1.7142857142857142,0.5714285714285714,0.5714285714285714
