player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
Davidson,Istanbul Basaksehir,Süper Lig,12,Attacker,6,3.0,1,0,175,9.0,11,6,1,50.0,0.25,0.08333333333333333,0.0,14.583333333333334,0.75,0.5,0.08333333333333333,0.9166666666666666
João Figueiredo,Istanbul Basaksehir,Süper Lig,14,Attacker,13,9.0,5,0,153,10.0,12,20,1,69.23076923076923,0.6428571428571429,0.35714285714285715,0.0,10.928571428571429,0.7142857142857143,1.4285714285714286,0.07142857142857142,0.8571428571428571
K. Piątek,Istanbul Basaksehir,Süper Lig,14,Attacker,38,20.0,9,1,204,5.0,18,12,3,52.63157894736842,1.4285714285714286,0.6428571428571429,0.07142857142857142,14.571428571428571,0.35714285714285715,0.8571428571428571,0.21428571428571427,1.2857142857142858
D. Pelkas,Istanbul Basaksehir,Süper Lig,9,Midfielder,3,1.0,0,2,77,3.0,3,10,0,33.33333333333333,0.1111111111111111,0.0,0.2222222222222222,8.555555555555555,0.3333333333333333,1.1111111111111112,0.0,0.3333333333333333
Léo Duarte,Istanbul Basaksehir,Süper Lig,11,Defender,4,2.0,1,0,538,14.0,14,7,1,50.0,0.18181818181818182,0.09090909090909091,0.0,48.90909090909091,1.2727272727272727,0.6363636363636364,0.09090909090909091,1.2727272727272727
O. Ba,Istanbul Basaksehir,Süper Lig,7,Defender,1,,0,0,382,14.0,6,13,2,,,0.0,0.0,54.57142857142857,2.0,1.8571428571428572,0.2857142857142857,0.8571428571428571
Lucas Lima,Istanbul Basaksehir,Süper Lig,10,Defender,1,,0,1,361,17.0,13,16,1,,,0.0,0.1,36.1,1.7,1.6,0.1,1.3
P. Keny,Istanbul Basaksehir,Süper Lig,9,Attacker,3,2.0,1,1,23,,5,2,0,66.66666666666666,0.2222222222222222,0.1111111111111111,0.1111111111111111,2.5555555555555554,,0.2222222222222222,0.0,0.5555555555555556
B. Özcan,Istanbul Basaksehir,Süper Lig,11,Midfielder,5,2.0,0,0,162,4.0,10,2,0,40.0,0.18181818181818182,0.0,0.0,14.727272727272727,0.36363636363636365,0.18181818181818182,0.0,0.9090909090909091
Miguel Crespo,Istanbul Basaksehir,Süper Lig,11,Midfielder,8,2.0,1,1,296,26.0,21,20,2,25.0,0.18181818181818182,0.09090909090909091,0.09090909090909091,26.90909090909091,2.3636363636363638,1.8181818181818181,0.18181818181818182,1.9090909090909092
D. Türüç,Istanbul Basaksehir,Süper Lig,14,Midfielder,14,9.0,3,4,417,9.0,16,11,3,64.28571428571429,0.6428571428571429,0.21428571428571427,0.2857142857142857,29.785714285714285,0.6428571428571429,0.7857142857142857,0.21428571428571427,1.1428571428571428
S. Gürler,Istanbul Basaksehir,Süper Lig,11,Midfielder,12,5.0,1,1,190,13.0,13,5,1,41.66666666666667,0.45454545454545453,0.09090909090909091,0.09090909090909091,17.272727272727273,1.1818181818181819,0.45454545454545453,0.09090909090909091,1.1818181818181819
B. Özdemir,Istanbul Basaksehir,Süper Lig,14,Midfielder,5,1.0,0,1,370,17.0,8,8,2,20.0,0.07142857142857142,0.0,0.07142857142857142,26.428571428571427,1.2142857142857142,0.5714285714285714,0.14285714285714285,0.5714285714285714
O. Ergün,Istanbul Basaksehir,Süper Lig,12,Midfielder,4,1.0,0,0,297,21.0,3,6,3,25.0,0.08333333333333333,0.0,0.0,24.75,1.75,0.5,0.25,0.25
O. Kemen,Istanbul Basaksehir,Süper Lig,13,Midfielder,11,3.0,0,3,344,17.0,19,13,2,27.27272727272727,0.23076923076923078,0.0,0.23076923076923078,26.46153846153846,1.3076923076923077,1.0,0.15384615384615385,1.4615384615384615
Hamza Güreler,Istanbul Basaksehir,Süper Lig,8,Defender,1,1.0,0,0,355,9.0,4,7,1,100.0,0.125,0.0,0.0,44.375,1.125,0.875,0.125,0.5
J. Opoku,Istanbul Basaksehir,Süper Lig,14,Defender,13,8.0,2,2,731,15.0,20,17,3,61.53846153846154,0.5714285714285714,0.14285714285714285,0.14285714285714285,52.214285714285715,1.0714285714285714,1.2142857142857142,0.21428571428571427,1.4285714285714286
