player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
K. De Bruyne,Manchester City,Premier League,9,Midfielder,16,7.0,2,2,415,4,5,9,2,43.75,0.7777777777777778,0.2222222222222222,0.2222222222222222,46.111111111111114,0.4444444444444444,1.0,0.2222222222222222,0.5555555555555556
P. Foden,Manchester City,Premier League,10,Midfielder,13,2.0,0,1,326,1,14,2,1,15.384615384615385,0.2,0.0,0.1,32.6,0.1,0.2,0.1,1.4
İ. Gündoğan,Manchester City,Premier League,14,Midfielder,11,3.0,0,1,724,11,14,9,1,27.27272727272727,0.21428571428571427,0.0,0.07142857142857142,51.714285714285715,0.7857142857142857,0.6428571428571429,0.07142857142857142,1.0
Bernardo Silva,Manchester City,Premier League,15,Midfielder,14,7.0,1,4,757,14,8,13,4,50.0,0.4666666666666667,0.06666666666666667,0.26666666666666666,50.46666666666667,0.9333333333333333,0.8666666666666667,0.26666666666666666,0.5333333333333333
E. Haaland,Manchester City,Premier League,15,Attacker,58,38.0,13,1,153,4,10,11,2,65.51724137931035,2.533333333333333,0.8666666666666667,0.06666666666666667,10.2,0.26666666666666666,0.7333333333333333,0.13333333333333333,0.6666666666666666
J. Doku,Manchester City,Premier League,11,Attacker,9,4.0,2,2,261,12,13,2,0,44.44444444444444,0.36363636363636365,0.18181818181818182,0.18181818181818182,23.727272727272727,1.0909090909090908,0.18181818181818182,0.0,1.1818181818181819
Matheus Nunes,Manchester City,Premier League,11,Midfielder,2,,0,3,244,14,4,14,1,,,0.0,0.2727272727272727,22.181818181818183,1.2727272727272727,1.2727272727272727,0.09090909090909091,0.36363636363636365
Sávio,Manchester City,Premier League,12,Attacker,15,7.0,0,2,346,15,11,10,2,46.666666666666664,0.5833333333333334,0.0,0.16666666666666666,28.833333333333332,1.25,0.8333333333333334,0.16666666666666666,0.9166666666666666
M. Akanji,Manchester City,Premier League,12,Defender,3,1.0,0,0,883,12,6,9,3,33.33333333333333,0.08333333333333333,0.0,0.0,73.58333333333333,1.0,0.75,0.25,0.5
Rúben Dias,Manchester City,Premier League,12,Defender,9,3.0,0,0,1054,9,3,6,3,33.33333333333333,0.25,0.0,0.0,87.83333333333333,0.75,0.5,0.25,0.25
J. Stones,Manchester City,Premier League,7,Defender,2,2.0,2,0,197,5,1,2,1,100.0,0.2857142857142857,0.2857142857142857,0.0,28.142857142857142,0.7142857142857143,0.2857142857142857,0.14285714285714285,0.14285714285714285
K. Walker,Manchester City,Premier League,11,Defender,3,2.0,0,0,589,16,5,4,1,66.66666666666666,0.18181818181818182,0.0,0.0,53.54545454545455,1.4545454545454546,0.36363636363636365,0.09090909090909091,0.45454545454545453
M. Kovačić,Manchester City,Premier League,11,Midfielder,10,5.0,3,0,772,22,7,8,3,50.0,0.45454545454545453,0.2727272727272727,0.0,70.18181818181819,2.0,0.7272727272727273,0.2727272727272727,0.6363636363636364
J. Grealish,Manchester City,Premier League,11,Midfielder,4,3.0,0,1,267,8,16,2,2,75.0,0.2727272727272727,0.0,0.09090909090909091,24.272727272727273,0.7272727272727273,0.18181818181818182,0.18181818181818182,1.4545454545454546
J. Gvardiol,Manchester City,Premier League,14,Defender,15,7.0,3,0,978,26,12,7,0,46.666666666666664,0.5,0.21428571428571427,0.0,69.85714285714286,1.8571428571428572,0.5,0.0,0.8571428571428571
R. Lewis,Manchester City,Premier League,14,Defender,5,1.0,1,2,554,22,19,7,3,20.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,39.57142857142857,1.5714285714285714,0.5,0.21428571428571427,1.3571428571428572
