player,team,comp,appearences,position,shots_total,shots_on,goals_total,assists,passes_total,tackles_total,fouls_drawn,fouls_committed,cards_yellow,shots_accuracy,shots_on_per_app,goals_per_app,assists_per_app,passes_per_app,tackles_per_app,fouls_per_app,cards_per_app,fouls_drawn_per_app
V. Černý,Rangers,Premiership,13,Attacker,19,12.0,6,1,451,4,2,7,1,63.1578947368421,0.9230769230769231,0.46153846153846156,0.07692307692307693,34.69230769230769,0.3076923076923077,0.5384615384615384,0.07692307692307693,0.15384615384615385
Danilo,Rangers,Premiership,6,Attacker,14,10.0,3,1,89,2,1,1,0,71.42857142857143,1.6666666666666667,0.5,0.16666666666666666,14.833333333333334,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666
T. Lawrence,Rangers,Premiership,8,Attacker,11,8.0,3,2,239,9,11,16,2,72.72727272727273,1.0,0.375,0.25,29.875,1.125,2.0,0.25,1.375
C. Dessers,Rangers,Premiership,14,Attacker,21,14.0,6,2,113,1,10,14,2,66.66666666666666,1.0,0.42857142857142855,0.14285714285714285,8.071428571428571,0.07142857142857142,1.0,0.14285714285714285,0.7142857142857143
R. McCausland,Rangers,Premiership,8,Attacker,8,3.0,0,1,90,3,4,7,1,37.5,0.375,0.0,0.125,11.25,0.375,0.875,0.125,0.5
H. Igamane,Rangers,Premiership,11,Attacker,17,10.0,2,0,137,6,9,9,1,58.82352941176471,0.9090909090909091,0.18181818181818182,0.0,12.454545454545455,0.5454545454545454,0.8181818181818182,0.09090909090909091,0.8181818181818182
N. Raskin,Rangers,Premiership,12,Midfielder,7,3.0,0,1,585,37,5,14,5,42.857142857142854,0.25,0.0,0.08333333333333333,48.75,3.0833333333333335,1.1666666666666667,0.4166666666666667,0.4166666666666667
L. Balogun,Rangers,Premiership,11,Defender,3,,0,0,503,18,9,9,1,,,0.0,0.0,45.72727272727273,1.6363636363636365,0.8181818181818182,0.09090909090909091,0.8181818181818182
K. Dowell,Rangers,Premiership,10,Midfielder,2,2.0,0,0,123,4,4,4,1,100.0,0.2,0.0,0.0,12.3,0.4,0.4,0.1,0.4
D. Sterling,Rangers,Premiership,11,Defender,5,1.0,0,0,203,12,6,10,4,20.0,0.09090909090909091,0.0,0.0,18.454545454545453,1.0909090909090908,0.9090909090909091,0.36363636363636365,0.5454545454545454
I. Hagi,Rangers,Premiership,6,Midfielder,7,3.0,0,3,241,6,7,7,1,42.857142857142854,0.5,0.0,0.5,40.166666666666664,1.0,1.1666666666666667,0.16666666666666666,1.1666666666666667
J. Souttar,Rangers,Premiership,14,Defender,7,3.0,0,0,1108,7,11,9,0,42.857142857142854,0.21428571428571427,0.0,0.0,79.14285714285714,0.5,0.6428571428571429,0.0,0.7857142857142857
N. Bajrami,Rangers,Premiership,11,Midfielder,13,9.0,1,0,329,7,2,3,1,69.23076923076923,0.8181818181818182,0.09090909090909091,0.0,29.90909090909091,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.18181818181818182
N. Kasanwirjo,Rangers,Premiership,6,Defender,2,1.0,0,0,139,8,2,2,0,50.0,0.16666666666666666,0.0,0.0,23.166666666666668,1.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
C. Barron,Rangers,Premiership,15,Midfielder,2,1.0,0,0,788,31,8,17,0,50.0,0.06666666666666667,0.0,0.0,52.53333333333333,2.066666666666667,1.1333333333333333,0.0,0.5333333333333333
M. Diomandé,Rangers,Premiership,13,Midfielder,9,2.0,1,2,446,13,18,14,3,22.22222222222222,0.15384615384615385,0.07692307692307693,0.15384615384615385,34.30769230769231,1.0,1.0769230769230769,0.23076923076923078,1.3846153846153846
Jefté,Rangers,Premiership,13,Defender,4,1.0,0,2,604,31,7,14,3,25.0,0.07692307692307693,0.0,0.15384615384615385,46.46153846153846,2.3846153846153846,1.0769230769230769,0.23076923076923078,0.5384615384615384
J. Tavernier,Rangers,Premiership,14,Defender,15,8.0,2,4,794,40,10,6,2,53.333333333333336,0.5714285714285714,0.14285714285714285,0.2857142857142857,56.714285714285715,2.857142857142857,0.42857142857142855,0.14285714285714285,0.7142857142857143
R. Pröpper,Rangers,Premiership,9,Defender,7,,0,0,678,12,10,10,3,,,0.0,0.0,75.33333333333333,1.3333333333333333,1.1111111111111112,0.3333333333333333,1.1111111111111112
